"North","East","WaterSE","Code","Pt.name","VertPrec"
4099762.003,568431.309,2.141,"echo","1381",0.01833
4099761.722,568431.894,2.135,"echo","1382",0.01878
4099762.109,568432.238,2.15,"echo","1383",0.01857
4099761.819,568432.812,2.131,"echo","1384",0.01826
4099760.796,568433.271,2.122,"echo","1385",0.01864
4099759.997,568433.938,2.127,"echo","1386",0.01875
4099759.56,568434.684,2.14,"echo","1387",0.019
4099759.388,568435.42,2.137,"echo","1388",0.01885
4099758.976,568436.061,2.131,"echo","1389",0.01845
4099758.239,568436.605,2.131,"echo","1390",0.01865
4099757.349,568437.085,2.147,"echo","1391",0.01919
4099756.712,568437.612,2.128,"echo","1392",0.01958
4099756.293,568438.324,2.134,"echo","1393",0.01939
4099755.571,568438.964,2.127,"echo","1394",0.0194
4099754.988,568439.585,2.147,"echo","1395",0.01922
4099754.505,568440.154,2.121,"echo","1396",0.01931
4099754.082,568440.827,2.144,"echo","1397",0.01882
4099753.382,568441.489,2.156,"echo","1398",0.0194
4099752.849,568442.302,2.143,"echo","1399",0.02009
4099752.156,568442.978,2.143,"echo","1400",0.01947
4099751.539,568443.606,2.13,"echo","1401",0.01939
4099750.999,568444.281,2.148,"echo","1402",0.01924
4099750.276,568444.913,2.148,"echo","1403",0.0193
4099749.491,568445.479,2.151,"echo","1404",0.01951
4099748.856,568446.124,2.144,"echo","1405",0.01964
4099748.115,568446.715,2.136,"echo","1406",0.01942
4099746.491,568447.763,2.148,"echo","1408",0.0202
4099745.637,568448.303,2.139,"echo","1409",0.01989
4099744.863,568448.897,2.158,"echo","1410",0.01961
4099744.35,568449.662,2.147,"echo","1411",0.01965
4099743.833,568450.36,2.141,"echo","1412",0.01977
4099743.337,568450.972,2.144,"echo","1413",0.01992
4099742.696,568451.459,2.147,"echo","1414",0.02
4099741.977,568452.037,2.126,"echo","1415",0.01986
4099741.021,568452.528,2.138,"echo","1416",0.01964
4099740.153,568452.88,2.135,"echo","1417",0.0197
4099739.048,568453.199,2.137,"echo","1418",0.01979
4099738.229,568453.828,2.141,"echo","1419",0.01953
4099737.852,568454.646,2.123,"echo","1420",0.01964
4099737.252,568455.391,2.132,"echo","1421",0.01976
4099736.921,568456.382,2.135,"echo","1422",0.01945
4099736.42,568457.176,2.136,"echo","1423",0.01967
4099735.868,568457.883,2.12,"echo","1424",0.0197
4099735.501,568458.689,2.128,"echo","1425",0.01956
4099735.03,568459.359,2.133,"echo","1426",0.01974
4099734.342,568459.93,2.142,"echo","1427",0.0196
4099733.628,568460.491,2.144,"echo","1428",0.01944
4099732.845,568461.041,2.136,"echo","1429",0.01973
4099732.054,568461.688,2.14,"echo","1430",0.01973
4099731.529,568462.372,2.144,"echo","1431",0.01969
4099731.179,568463.186,2.14,"echo","1432",0.01991
4099730.688,568463.876,2.122,"echo","1433",0.01974
4099729.993,568464.563,2.145,"echo","1434",0.01976
4099729.372,568465.338,2.164,"echo","1435",0.01968
4099728.99,568466.133,2.15,"echo","1436",0.01999
4099728.731,568466.738,2.14,"echo","1437",0.01992
4099728.703,568467.323,2.119,"echo","1438",0.01974
4099728.869,568467.767,2.121,"echo","1439",0.01973
4099728.487,568468.027,2.137,"echo","1440",0.02007
4099728.054,568468.238,2.122,"echo","1441",0.01966
4099727.663,568468.574,2.121,"echo","1442",0.01952
4099726.348,568469.265,2.146,"echo","1444",0.01945
4099725.606,568469.748,2.126,"echo","1445",0.01971
4099724.993,568470.368,2.139,"echo","1446",0.01993
4099724.246,568470.996,2.133,"echo","1447",0.01984
4099723.644,568471.633,2.129,"echo","1448",0.01963
4099723.199,568472.349,2.139,"echo","1449",0.0198
4099722.552,568473.073,2.126,"echo","1450",0.0199
4099721.909,568473.792,2.131,"echo","1451",0.01995
4099721.299,568474.453,2.119,"echo","1452",0.0198
4099720.555,568475.095,2.131,"echo","1453",0.01972
4099720.013,568475.788,2.145,"echo","1454",0.01985
4099719.328,568476.327,2.139,"echo","1455",0.0199
4099718.615,568476.863,2.144,"echo","1456",0.01982
4099718.01,568477.376,2.136,"echo","1457",0.01955
4099717.427,568477.859,2.139,"echo","1458",0.01966
4099716.779,568478.467,2.137,"echo","1459",0.01968
4099716.238,568479.171,2.135,"echo","1460",0.01972
4099715.453,568479.749,2.129,"echo","1461",0.01993
4099714.773,568480.44,2.14,"echo","1462",0.01958
4099714.03,568481.02,2.142,"echo","1463",0.01958
4099713.05,568481.503,2.144,"echo","1464",0.01975
