"Pt.name","North","East","BedSE","WaterSE","Depth","Code","VertPrec"
"3684",4099767.096,568667.652,3.918,2.118,1.53,"echo",0.00802
"3685",4099766.781,568666.806,3.875,2.135,1.47,"echo",0.0081
"3686",4099766.345,568665.941,3.544,2.124,1.15,"echo",0.00818
"3687",4099766.21,568665.021,3.77,2.12,1.38,"echo",0.00871
"3688",4099766.211,568664.043,3.514,2.124,1.12,"echo",0.00821
"3689",4099766.126,568663.203,3.559,2.119,1.17,"echo",0.00814
"3690",4099766.064,568662.414,3.601,2.121,1.21,"echo",0.00837
"3691",4099766.15,568661.449,3.577,2.127,1.18,"echo",0.00843
"3692",4099766.053,568660.684,3.594,2.124,1.2,"echo",0.00856
"3693",4099766.089,568659.632,3.701,2.131,1.3,"echo",0.00838
"3694",4099765.764,568658.867,3.617,2.147,1.2,"echo",0.00844
"3695",4099765.506,568658.061,3.726,2.126,1.33,"echo",0.00849
"3696",4099765.196,568657.344,3.887,2.137,1.48,"echo",0.00843
"3697",4099764.816,568656.833,3.798,2.148,1.38,"echo",0.00839
"3699",4099764.297,568655.681,4.246,2.146,1.83,"echo",0.00867
